,origin,destination,Origin_city,Destination_city,Fly_date,year,month,name_x,origin_latitude,origin_longitude,name_y,destination_latitude,destination_longitude
149250,SNA,ORD,"Santa Ana, CA","Chicago, IL",2001-05-01,2001,5,John Wayne Orange County International Airport,33.675701,-117.867996,Chicago O'Hare International Airport,41.9786,-87.9048
143720,AZO,ORD,"Kalamazoo, MI","Chicago, IL",2005-08-01,2005,8,Kalamazoo Battle Creek International Airport,42.234901428222656,-85.5521011352539,Chicago O'Hare International Airport,41.9786,-87.9048
1710340,IAD,SFO,"Washington, DC","San Francisco, CA",1992-01-01,1992,1,Washington Dulles International Airport,38.9445,-77.455803,San Francisco International Airport,37.61899948120117,-122.375
3147175,ATL,FLL,"Atlanta, GA","Fort Lauderdale, FL",2003-11-01,2003,11,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702
535146,LAS,LAX,"Las Vegas, NV","Los Angeles, CA",2001-11-01,2001,11,Harry Reid International Airport,36.083361,-115.151817,Los Angeles / Tom Bradley International Airport,33.942501,-118.407997
1450723,OMA,IAH,"Omaha, NE","Houston, TX",2000-04-01,2000,4,Eppley Airfield,41.3032,-95.894096,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438
659165,CVG,CLT,"Cincinnati, OH","Charlotte, NC",2008-04-01,2008,4,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594
2210308,SEA,MCI,"Seattle, WA","Kansas City, MO",2002-06-01,2002,6,Seattle–Tacoma International Airport,47.449162,-122.311134,Kansas City International Airport,39.2976,-94.713898
1603891,DFW,CVG,"Dallas, TX","Cincinnati, OH",2001-11-01,2001,11,Dallas Fort Worth International Airport,32.896801,-97.038002,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801
1638584,GRB,CVG,"Green Bay, WI","Cincinnati, OH",2006-04-01,2006,4,Austin Straubel International Airport,44.483459,-88.130805,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801
2548476,SAN,ELP,"San Diego, CA","El Paso, TX",2005-12-01,2005,12,San Diego International Airport,32.7336006165,-117.190002441,El Paso International Airport,31.80719948,-106.3779984
558285,HNL,LAX,"Honolulu, HI","Los Angeles, CA",2004-07-01,2004,7,Daniel K Inouye International Airport,21.32062,-157.924228,Los Angeles / Tom Bradley International Airport,33.942501,-118.407997
2041156,RDU,PHL,"Raleigh, NC","Philadelphia, PA",1994-02-01,1994,2,Raleigh Durham International Airport,35.877602,-78.787498,Philadelphia International Airport,39.87189865112305,-75.24109649658203
1356376,DCA,ATL,"Washington, DC","Atlanta, GA",1998-03-01,1998,3,Ronald Reagan Washington National Airport,38.8521,-77.037697,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101
1519688,OMA,PHX,"Omaha, NE","Phoenix, AZ",1995-07-01,1995,7,Eppley Airfield,41.3032,-95.894096,Phoenix Sky Harbor International Airport,33.435302,-112.005905
653534,CRW,CLT,"Charleston, WV","Charlotte, NC",2009-07-01,2009,7,Yeager Airport,38.3731,-81.593201,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594
3217686,LGA,RIC,"New York, NY","Richmond, VA",1994-08-01,1994,8,La Guardia Airport,40.777199,-73.872597,Richmond International Airport,37.50519943237305,-77.3197021484375
1314469,ORD,ATL,"Chicago, IL","Atlanta, GA",2004-02-01,2004,2,Chicago O'Hare International Airport,41.9786,-87.9048,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101
3004869,IND,MCO,"Indianapolis, IN","Orlando, FL",1997-05-01,1997,5,Indianapolis International Airport,39.7173,-86.294403,Orlando International Airport,28.429399490356445,-81.30899810791016
1260804,LAX,ANC,"Los Angeles, CA","Anchorage, AK",2000-02-01,2000,2,Los Angeles / Tom Bradley International Airport,33.942501,-118.407997,Ted Stevens Anchorage International Airport,61.1744,-149.996002
1372620,LEX,ATL,"Lexington, KY","Atlanta, GA",2006-10-01,2006,10,Blue Grass Airport,38.036499,-84.605904,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101
986372,ACT,DFW,"Waco, TX","Dallas, TX",2005-09-01,2005,9,Waco Regional Airport,31.611299514770508,-97.23049926757812,Dallas Fort Worth International Airport,32.896801,-97.038002
1111520,LAX,EWR,"Los Angeles, CA","Newark, NJ",1995-07-01,1995,7,Los Angeles / Tom Bradley International Airport,33.942501,-118.407997,Newark Liberty International Airport,40.692501,-74.168701
2233006,OMA,MCI,"Omaha, NE","Kansas City, MO",2009-10-01,2009,10,Eppley Airfield,41.3032,-95.894096,Kansas City International Airport,39.2976,-94.713898
735696,AFW,CLT,"Dallas, TX","Charlotte, NC",2007-11-01,2007,11,Perot Field/Fort Worth Alliance Airport,32.99044,-97.31947,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594
1853304,DTW,CLE,"Detroit, MI","Cleveland, OH",2000-04-01,2000,4,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,Cleveland Hopkins International Airport,41.4117012024,-81.8498001099
2094368,DFW,COS,"Dallas, TX","Colorado Springs, CO",1991-06-01,1991,6,Dallas Fort Worth International Airport,32.896801,-97.038002,City of Colorado Springs Municipal Airport,38.805801,-104.700996
3356803,SYR,ILN,"Syracuse, NY","Wilmington, OH",2007-09-01,2007,9,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,Wilmington Airpark,39.427898407,-83.792098999
2491245,DAL,LBB,"Dallas, TX","Lubbock, TX",2003-06-01,2003,6,Dallas Love Field,32.847099,-96.851799,Lubbock Preston Smith International Airport,33.663601,-101.822998
2979361,BNA,MCO,"Nashville, TN","Orlando, FL",2006-02-01,2006,2,Nashville International Airport,36.1245002746582,-86.6781997680664,Orlando International Airport,28.429399490356445,-81.30899810791016
2214322,CVG,MCI,"Cincinnati, OH","Kansas City, MO",2006-02-01,2006,2,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,Kansas City International Airport,39.2976,-94.713898
2873574,FLL,MDW,"Fort Lauderdale, FL","Chicago, IL",2004-11-01,2004,11,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,Chicago Midway International Airport,41.785999,-87.752403
2448960,PHX,CMH,"Phoenix, AZ","Columbus, OH",2002-02-01,2002,2,Phoenix Sky Harbor International Airport,33.435302,-112.005905,John Glenn Columbus International Airport,39.998001,-82.891899
2993425,DFW,MCO,"Dallas, TX","Orlando, FL",2008-05-01,2008,5,Dallas Fort Worth International Airport,32.896801,-97.038002,Orlando International Airport,28.429399490356445,-81.30899810791016
2030033,ORD,PHL,"Chicago, IL","Philadelphia, PA",1994-02-01,1994,2,Chicago O'Hare International Airport,41.9786,-87.9048,Philadelphia International Airport,39.87189865112305,-75.24109649658203
3546741,LAX,SBP,"Los Angeles, CA","San Luis Obispo, CA",2009-12-01,2009,12,Los Angeles / Tom Bradley International Airport,33.942501,-118.407997,San Luis County Regional Airport,35.2368011475,-120.641998291
42751,MEM,ORD,"Memphis, TN","Chicago, IL",1991-04-01,1991,4,Memphis International Airport,35.04240036010742,-89.97669982910156,Chicago O'Hare International Airport,41.9786,-87.9048
3280348,BGR,PVD,"Bangor, ME","Providence, RI",1993-09-01,1993,9,Bangor International Airport,44.8074,-68.828102,Theodore Francis Green State Airport,41.725038,-71.425668
773591,MDT,IAD,"Harrisburg, PA","Washington, DC",2003-07-01,2003,7,Harrisburg International Airport,40.193501,-76.763397,Washington Dulles International Airport,38.9445,-77.455803
