,0,1,2
382,ORD_9,MSP_10,TPA_11
383,DCA_10,DFW_11,ATL_12
384,EWR_9,CLT_10,IND_11
385,LAS_6,IND_7,CLT_8
386,EWR_7,DTW_8,PIT_9
387,DTW_1,STL_2,SLC_3
388,DCA_7,DFW_8,SFO_9
389,SLC_6,CVG_7,DTW_8
390,EWR_8,MIA_9,IAH_10
391,STL_4,LAS_5,DFW_6
392,STL_3,DFW_4,SFO_5
393,EWR_3,BWI_4,STL_5
394,LAX_1,LAS_2,PHX_3
395,ORD_8,LAX_9,ORD_10
396,ATL_4,CVG_5,BOS_6
397,ATL_7,LGA_8,DFW_9
398,EWR_8,DFW_9,MCO_10
399,IND_1,LGA_2,STL_3
400,BWI_10,ORD_11,STL_12
401,IND_8,PIT_9,IND_10
402,ORD_10,EWR_11,TPA_12
403,STL_10,MCO_11,LAX_12
404,JFK_4,BOS_5,ATL_6
405,MIA_2,DFW_3,ATL_4
406,JFK_1,MIA_2,MSP_3
407,ORD_10,STL_11,ORD_12
408,BWI_8,LAX_9,SFO_10
409,SFO_10,ORD_11,DFW_12
410,DTW_2,LGA_3,BOS_4
411,JFK_5,PIT_6,LGA_7
412,SLC_7,SFO_8,IAD_9
413,CVG_9,EWR_10,ORD_11
414,LAS_3,ORD_4,BOS_5
415,DCA_4,MCO_5,DFW_6
416,PHX_2,STL_3,DCA_4
417,SFO_7,DTW_8,ORD_9
418,MIA_2,ATL_3,LAX_4
419,STL_7,IND_8,MEM_9
420,PHL_3,DFW_4,LAS_5
421,SEA_5,ATL_6,IND_7
422,MSP_10,IAD_11,SFO_12
423,JFK_7,LAX_8,ATL_9
424,IND_5,ATL_6,PIT_7
425,MIA_4,MSP_5,TPA_6
426,PHX_1,SFO_2,PHX_3
427,ATL_5,MIA_6,LAX_7
428,TPA_9,JFK_10,DCA_11
429,JFK_8,SFO_9,JFK_10
430,JFK_7,MIA_8,JFK_9
431,SFO_1,ATL_2,ORD_3
432,ORD_1,CLT_2,MCO_3
433,MCO_3,MEM_4,ATL_5
434,DFW_7,DTW_8,ATL_9
435,SEA_10,MSP_11,PHL_12
436,ORD_5,CLE_6,LGA_7
437,SEA_4,DFW_5,LAX_6
438,ORD_5,ATL_6,BOS_7
439,LAX_9,PHX_10,SEA_11
440,LGA_8,MIA_9,ATL_10
441,ATL_3,IAD_4,DTW_5
442,LGA_9,MIA_10,CLT_11
443,MIA_10,LGA_11,IAD_12
444,IAH_4,DFW_5,MCO_6
445,ORD_8,BOS_9,MIA_10
446,JFK_5,MCO_6,PIT_7
447,EWR_4,IAH_5,ORD_6
448,LGA_3,TPA_4,ATL_5
449,MEM_2,PIT_3,DTW_4
450,CLT_9,MIA_10,MCO_11
451,DFW_1,SLC_2,SFO_3
452,LGA_10,DFW_11,LAX_12
453,MCO_9,MIA_10,ATL_11
454,LAX_4,DFW_5,LAS_6
455,BWI_4,CLT_5,ATL_6
456,MSP_9,LGA_10,CVG_11
457,LAX_10,SFO_11,LAS_12
458,CVG_9,PHL_10,MEM_11
459,ATL_10,DCA_11,LGA_12
460,TPA_10,CLT_11,PIT_12
461,ORD_5,TPA_6,IAH_7
462,ORD_1,ATL_2,LAX_3
463,MEM_5,PIT_6,CVG_7
464,LAX_3,DFW_4,ORD_5
465,ATL_8,IAH_9,BWI_10
466,CVG_4,PIT_5,SFO_6
467,IAH_4,ORD_5,LGA_6
468,DFW_10,TPA_11,ATL_12
469,SFO_6,LAX_7,IAH_8
470,BWI_4,EWR_5,BOS_6
471,LGA_5,STL_6,ATL_7
472,STL_2,MIA_3,CLT_4
473,ATL_4,LAX_5,CLT_6
474,DFW_5,CLT_6,ATL_7
475,MIA_1,LGA_2,DFW_3
476,DFW_8,PHX_9,ORD_10
477,SFO_9,LAX_10,STL_11
478,CVG_6,PHX_7,DFW_8
479,SFO_3,PHX_4,ORD_5
480,DTW_9,IAD_10,MIA_11
