origin,destination,count,color
SHV_3,MLU_4,3881,red
SHV_4,MLU_5,3497,red
SHV_5,MLU_6,3585,red
SHV_6,MLU_7,4654,red
SHV_7,MLU_8,4564,red
SHV_8,MLU_9,4603,red
SHV_9,MLU_10,3294,red
SHV_10,MLU_11,3502,red
SHV_11,MLU_12,3611,red
SHV_12,MLU_13,3906,red
SHV_13,MLU_14,3243,red
SHV_14,MLU_15,2699,red
SHV_15,MLU_16,3457,red
SHV_16,MLU_17,3597,red
SHV_17,MLU_18,3721,red
SHV_18,MLU_19,4534,red
SHV_19,MLU_20,5022,red
SHV_20,MLU_21,4578,red
SHV_21,MLU_22,3610,red
SHV_22,MLU_23,3912,red
SHV_23,MLU_24,3772,red
SHV_24,MLU_25,3972,red
SHV_25,MLU_26,3017,red
SHV_26,MLU_27,2852,red
SHV_27,MLU_28,3677,red
SHV_28,MLU_29,3382,red
SHV_29,MLU_30,3963,red
SHV_30,MLU_31,5417,red
SHV_31,MLU_32,6508,red
SHV_32,MLU_33,6099,red
SHV_33,MLU_34,4369,red
SHV_34,MLU_35,4151,red
SHV_35,MLU_36,3823,red
SHV_36,MLU_37,4312,red
SHV_37,MLU_38,3281,red
SHV_38,MLU_39,3366,red
SHV_39,MLU_40,4322,red
SHV_40,MLU_41,4006,red
SHV_41,MLU_42,4438,red
SHV_42,MLU_43,4640,red
SHV_43,MLU_44,5063,red
SHV_44,MLU_45,4802,red
SHV_45,MLU_46,4123,red
SHV_46,MLU_47,4159,red
SHV_47,MLU_48,4130,red
SHV_48,MLU_49,4035,red
SHV_49,MLU_50,3487,red
SHV_50,MLU_51,2980,red
SHV_51,MLU_52,4147,red
SHV_52,MLU_53,3691,red
SHV_53,MLU_54,4070,red
SHV_54,MLU_55,4708,red
SHV_55,MLU_56,4720,red
SHV_56,MLU_57,4351,red
SHV_57,MLU_58,3161,red
SHV_58,MLU_59,2788,red
SHV_59,MLU_60,3056,red
SHV_60,MLU_61,3095,red
SHV_61,MLU_62,2624,red
SHV_62,MLU_63,2298,red
SHV_63,MLU_64,2839,red
SHV_64,MLU_65,2734,red
SHV_65,MLU_66,3103,red
SHV_66,MLU_67,3398,red
SHV_67,MLU_68,3360,red
SHV_68,MLU_69,3198,red
SHV_69,MLU_70,2849,red
SHV_70,MLU_71,3061,red
SHV_71,MLU_72,3170,red
SHV_72,MLU_73,4978,red
SHV_73,MLU_74,4370,red
SHV_74,MLU_75,4174,red
SHV_75,MLU_76,4840,red
SHV_76,MLU_77,4795,red
SHV_77,MLU_78,5784,red
SHV_78,MLU_79,6343,red
SHV_79,MLU_80,6441,red
SHV_80,MLU_81,6108,red
SHV_81,MLU_82,5067,red
SHV_82,MLU_83,5416,red
SHV_83,MLU_84,5668,red
SHV_84,MLU_85,4747,red
SHV_85,MLU_86,4376,red
SHV_86,MLU_87,3896,red
SHV_87,MLU_88,4843,red
SHV_88,MLU_89,4294,red
SHV_89,MLU_90,4663,red
SHV_90,MLU_91,4814,red
SHV_91,MLU_92,5174,red
SHV_92,MLU_93,4762,red
SHV_93,MLU_94,3993,red
SHV_94,MLU_95,4185,red
SHV_95,MLU_96,4054,red
SHV_96,MLU_97,4266,red
SHV_97,MLU_98,3901,red
SHV_98,MLU_99,3463,red
SHV_99,MLU_100,4522,red
SHV_100,MLU_101,4202,red
SHV_101,MLU_102,4487,red
SHV_102,MLU_103,5101,red
SHV_103,MLU_104,5541,red
SHV_104,MLU_105,5016,red
SHV_105,MLU_106,4457,red
SHV_106,MLU_107,4373,red
SHV_107,MLU_108,4186,red
SHV_108,MLU_109,4075,red
SHV_109,MLU_110,4019,red
SHV_110,MLU_111,3556,red
SHV_111,MLU_112,4388,red
SHV_112,MLU_113,4200,red
SHV_113,MLU_114,4227,red
SHV_114,MLU_115,4675,red
SHV_115,MLU_116,4824,red
SHV_116,MLU_117,4219,red
SHV_117,MLU_118,3765,red
SHV_118,MLU_119,4039,red
SHV_119,MLU_120,4095,red
SHV_120,MLU_121,4158,red
